bedrooms,longitude,name,latitude,bathrooms_level_two,streetAddress,country,locality,postal,region,housing_type,links,URL,Sauna
1,-123.122063,"Fully Serviced, Furnished One Bedroom Apartment in Downtown Vancouver",49.278389,1.0,Seymour,CA,Vancouver,V6B3M4,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-serviced-furnished-one/7585716237.html,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-serviced-furnished-one/7585716237.html,True
4,-123.141879,4 BDRM + Den Townhouse for rent,49.209635,4.0,,CA,Vancouver,V6P2V3,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bdrm-den-townhouse-for-rent/7578973510.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bdrm-den-townhouse-for-rent/7578973510.html,True
3,-123.115086,Amazing PRIMARY Penthouse at The Arc Vancouver 89 Nelson St,49.274836,4.0,,CA,Vancouver,V6Z3G7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-amazing-primary-penthouse-at/7577857312.html,https://vancouver.craigslist.org/van/apa/d/vancouver-amazing-primary-penthouse-at/7577857312.html,True
3,-123.139744,Large 3-bedroom w/view,49.292609,3.0,Nelson St,CA,Vancouver,V6G1J2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-large-bedroom-view/7585711540.html,https://vancouver.craigslist.org/van/apa/d/vancouver-large-bedroom-view/7585711540.html,True
1,-123.101345,OLYMPIC VILLAGE 1BR+FLEX UNIT,49.271417,1.0,1618 Quebec St,CA,Vancouver,V6T2E4,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-olympic-village-1brflex-unit/7584633319.html,https://vancouver.craigslist.org/van/apa/d/vancouver-olympic-village-1brflex-unit/7584633319.html,True
2,-123.124809,"(UniqueAccommodations.com) ID:4127 Spacious 2 Bdrm, 2 baths",49.282420,2.0,909 Burrard,CA,Vancouver,V6Z2N2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-uniqueaccommodationscom/7585708215.html,https://vancouver.craigslist.org/van/apa/d/vancouver-uniqueaccommodationscom/7585708215.html,True
2,-123.126869,Furnished 2Bd 2 Bath High rise condo in Downtown,49.280460,2.0,1050 Burrard Street,CA,Vancouver,V6Z2Y7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-2bd-bath-high-rise/7585694833.html,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-2bd-bath-high-rise/7585694833.html,True
7,-123.191200,7 Beds 7.5 Baths Luxurious House Hollyburn West Van,49.339700,8.0,15XX Rena Crescent,CA,West Vancouver South,V7V,BC,House,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-south-beds-75-baths/7585695011.html,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-south-beds-75-baths/7585695011.html,True
1,-123.116800,"New! Modern 1 Bed +Den, 1 Bath with Parking, Spacious Balcony & more!",49.183600,1.0,619 - 3300 Ketcheson,CA,Richmond,V6X1K3,BC,Apartment,https://vancouver.craigslist.org/rch/apa/d/richmond-new-modern-bed-den-bath-with/7584520012.html,https://vancouver.craigslist.org/rch/apa/d/richmond-new-modern-bed-den-bath-with/7584520012.html,True
2,-122.992100,"Amazing 2 Bed, 2 Bathroom with Balcony, 2 Storage Lockers & Parking!",49.203800,2.0,4900 Lennox Lane,CA,Burnaby,V5J,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/burnaby-amazing-bed-bathroom-with/7575010743.html,https://vancouver.craigslist.org/bnc/apa/d/burnaby-amazing-bed-bathroom-with/7575010743.html,True
2,-123.122374,"2 BD Brand New Large luxury Suite, (Park West at Lions Gate Village)",49.325038,2.0,1633 Capilano Road,CA,North Vancouver,V7P3G2,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bd-brand-new-large/7585697097.html,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bd-brand-new-large/7585697097.html,True
3,-123.128341,"Stunning 3BR + 2.5BA w/ Views, Avail April 1st, 2023",49.273182,3.0,1495 Richards St,CA,Vancouver,V6Z3B8,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-3br-25ba-views-avail/7584296151.html,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-3br-25ba-views-avail/7584296151.html,True
1,-123.131329,1BR Apartment,49.286055,1.0,1348 Barclay St.,CA,Vancouver,V6E2B5,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-1br-apartment/7578826967.html,https://vancouver.craigslist.org/van/apa/d/vancouver-1br-apartment/7578826967.html,True
2,-123.140989,1915 Sq.Ft Sub Penthouse with Air Cond with City and Water Views!,49.271932,2.0,1470 Pennyfarthing,CA,Vancouver,V6J4X8,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-1915-sqft-sub-penthouse-with/7580692446.html,https://vancouver.craigslist.org/van/apa/d/vancouver-1915-sqft-sub-penthouse-with/7580692446.html,True
4,-123.140280,Executive British Proeprties Mansion Half-Acre with tennis court,49.343954,6.0,,CA,West Vancouver,V7S1P9,BC,House,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-executive-british/7585672885.html,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-executive-british/7585672885.html,True
2,-123.130000,Brand new 48th floor 2 bedroom & den at Burrard Place with ocean views,49.276700,2.0,,CA,Vancouver,V6Z1W7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-48th-floor-bedroom/7583939770.html,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-48th-floor-bedroom/7583939770.html,True
2,-123.099957,Perfect (2 Bed + 1 Bath) False Creek,49.276037,1.0,milross ave,CA,Vancouver,V6A4J4,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-perfect-bed-bath-false-creek/7585671632.html,https://vancouver.craigslist.org/van/apa/d/vancouver-perfect-bed-bath-false-creek/7585671632.html,True
2,-123.128242,Luxurious 2BR+Den w/View @ West Pender Place - Available Now,49.290140,2.0,,CA,Vancouver,V6G2S2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-luxurious-2brden-view-west/7585671420.html,https://vancouver.craigslist.org/van/apa/d/vancouver-luxurious-2brden-view-west/7585671420.html,True
1,-123.126037,"1 BEDROOM,FURNISHED, NICE CONDO,Burrard and Nelson feb 6",49.281194,1.0,BURRARD,CA,Vancouver,V6Z3B6,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroomfurnished-nice/7585654303.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroomfurnished-nice/7585654303.html,True
1,-123.130000,"brand new Ocean View One Bedroom @1289 Hornby, Yale town",49.276700,1.0,,CA,Vancouver,V6Z1W7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-ocean-view-one/7582255172.html,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-ocean-view-one/7582255172.html,True
2,-123.007400,Conveniently located Spacious 2 beds 2 baths North Burnaby (QS42),49.274000,2.0,,CA,Burnaby,V5C,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/burnaby-conveniently-located-spacious/7577394167.html,https://vancouver.craigslist.org/bnc/apa/d/burnaby-conveniently-located-spacious/7577394167.html,True
2,-122.852100,INDOOR SWIMMING POOL This Spacious 2 bedrooms + Den (QZ09),49.236600,2.0,,CA,Coquitlam,V3K4X9,BC,Apartment,https://vancouver.craigslist.org/pml/apa/d/coquitlam-indoor-swimming-pool-this/7585635276.html,https://vancouver.craigslist.org/pml/apa/d/coquitlam-indoor-swimming-pool-this/7585635276.html,True
3,-123.126037,"Spacious 3-bedroom, 2½ bathrooms apartment",49.281194,3.0,Nelson Street,CA,Vancouver,V6Z3B6,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bedroom-bathrooms/7585626275.html,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bedroom-bathrooms/7585626275.html,True
1,-123.008767,Prime Location -The core of the Amazing Brentwood furnished Condo,49.267211,1.0,Madison Ave,CA,Burnaby,V5C5A6,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/burnaby-prime-location-the-core-of-the/7582980514.html,https://vancouver.craigslist.org/bnc/apa/d/burnaby-prime-location-the-core-of-the/7582980514.html,True
1,-123.117836,BRAND NEW apartment @ Cambie Gardens - 1bed 1bath,49.217275,1.0,,CA,Vancouver,V6P1X5,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-apartment-cambie/7582316011.html,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-apartment-cambie/7582316011.html,True
2,-123.114900,Jr 2bed/1bath - Ideal for Small Family or Work from Home Setup!,49.322000,1.0,,CA,North Vancouver Southwest,V7P,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-jr-2bed-1bath/7585604938.html,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-jr-2bed-1bath/7585604938.html,True
1,-123.134487,Large 1BR+2 solariums in Fairview,49.263737,1.0,1268 West Broadway,CA,Vancouver,V6H4C2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-large-1br2-solariums-in/7581861513.html,https://vancouver.craigslist.org/van/apa/d/vancouver-large-1br2-solariums-in/7581861513.html,True
1,-123.120807,Downtown Luxury Living! 1BR on th 35th Fl w/Water View - Avail Now,49.287975,1.0,,CA,Vancouver,V6E4J6,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-luxury-living-1br-on/7585602733.html,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-luxury-living-1br-on/7585602733.html,True
3,-123.126856,Executive View 3 Bedroom with Large Decks @ Waterford,49.271611,2.0,505-1483 Homer Street,CA,Vancouver,V6Z3C8,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-executive-view-bedroom-with/7580731117.html,https://vancouver.craigslist.org/van/apa/d/vancouver-executive-view-bedroom-with/7580731117.html,True
1,-123.118587,1 Bed + 1 Bath in Waterworks! Unfurnished + SouthEast Facing- MARCH 1,49.275041,1.0,,CA,Vancouver,V6B6J5,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-in-waterworks/7582989578.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-in-waterworks/7582989578.html,True
1,-123.124959,Bright + Central 1BD 1BTH + DEN @ BRAVA- UNFURNISHED - AVAILABLE FEB 1,49.277000,1.0,,CA,Vancouver,V6B1K2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bright-central-1bd-1bth-den/7577098334.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bright-central-1bd-1bth-den/7577098334.html,True
3,-122.936900,$3100 / 3 br- 1540ft - Large beautiful townhouse for rent!,49.264000,2.0,,CA,Burnaby,V5A,BC,House,https://vancouver.craigslist.org/bnc/apa/d/burnaby-br-1540ft-large-beautiful/7585597487.html,https://vancouver.craigslist.org/bnc/apa/d/burnaby-br-1540ft-large-beautiful/7585597487.html,True
1,-123.111133,"**BRAND NEW 1 BDR+ 1 BATH+HUGE BALCONY AT ""PARK WEST AT LIONS GATE""**",49.345552,1.0,"1633 Capilano Rd,",CA,North Vancouver,V7R4J4,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-brand-new-bdr-bathhuge/7578974130.html,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-brand-new-bdr-bathhuge/7578974130.html,True
3,-123.134766,"★ ★ 3 Bd/3 Bath + Storage, Beautiful View  ★",49.190455,3.0,No 3 rd,CA,Richmond,V6X4K3,BC,Apartment,https://vancouver.craigslist.org/rch/apa/d/richmond-bd-bath-storage-beautiful-view/7585573919.html,https://vancouver.craigslist.org/rch/apa/d/richmond-bd-bath-storage-beautiful-view/7585573919.html,True
2,-123.108759,"Beautifully Furnished 2 BR condo w/City View in Downtown Core,  Now~",49.280074,2.0,,CA,Vancouver,V6B2L3,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-beautifully-furnished-br/7585572597.html,https://vancouver.craigslist.org/van/apa/d/vancouver-beautifully-furnished-br/7585572597.html,True
1,-123.113900,1 Bed + Office Den 1 Bath Suite w/ Balcony & City Views,49.278800,1.0,,CA,Vancouver,V6B2P2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-office-den-bath-suite/7579563591.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-office-den-bath-suite/7579563591.html,True
1,-123.104882,1 Bed 1 Bath Condo w/ Stylish Interior & Balcony,49.270600,1.0,1661 Ontario Street,CA,Vancouver,V5Y0C8,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-condo-stylish/7579549539.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-condo-stylish/7579549539.html,True
3,-123.113900,3 Bed 3 Bath Condo w/ Private Balcony & Panoramic Waterviews,49.278800,3.0,,CA,Vancouver,V6B2P2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-condo-private/7579648249.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-condo-private/7579648249.html,True
1,-123.122964,Brand New One-Bedroom Apartment in North Vancouver,49.324758,1.0,1632 Lions Gate Lane,CA,North Vancouver,V7P3G2,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-brand-new-one-bedroom/7580882061.html,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-brand-new-one-bedroom/7580882061.html,True
1,-122.949543,Spacious 1 Bed 1 Bath High Rise Condo in Edmonds Burnaby,49.218763,1.0,,CA,Burnaby,V3N3B7,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/burnaby-spacious-bed-bath-high-rise/7584701065.html,https://vancouver.craigslist.org/bnc/apa/d/burnaby-spacious-bed-bath-high-rise/7584701065.html,True
2,-123.115800,Stunning 2 Bed 2 Bath Luxury Condo in Shangri-La,49.286600,2.0,,CA,Vancouver,V6C2Y2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-bed-bath-luxury/7582599565.html,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-bed-bath-luxury/7582599565.html,True
,,,,,,,,,,,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-house-for-rent-bed/7577917077.html,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-house-for-rent-bed/7577917077.html,True
1,-123.128322,1 Bdr. & 1 Bath Condo at The Mark,49.274435,1.0,1372 Seymour St,CA,Vancouver,V6Z2P7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bdr-bath-condo-at-the-mark/7585545872.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bdr-bath-condo-at-the-mark/7585545872.html,True
,,,,,,,,,,,https://vancouver.craigslist.org/van/apa/d/coquitlam-north-burquitlam-bed-den-bath/7577875267.html,https://vancouver.craigslist.org/van/apa/d/coquitlam-north-burquitlam-bed-den-bath/7577875267.html,True
,,,,,,,,,,,https://vancouver.craigslist.org/rds/apa/d/delta-tsawwassen-bed-bath-newly/7577919090.html,https://vancouver.craigslist.org/rds/apa/d/delta-tsawwassen-bed-bath-newly/7577919090.html,True
,,,,,,,,,,,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-bath-condo-city-and/7577873199.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-bath-condo-city-and/7577873199.html,True
2,-123.113900,2 Bed + Den 2 Bath Downtown Suite w/ City Views,49.278800,2.0,,CA,Vancouver,V6B2P2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-bath-downtown-suite/7579310337.html,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-bath-downtown-suite/7579310337.html,True
2,-123.146000,Pet Friendly - 2 Bed Condo w/ 700 sqft Furnished Patio,49.260300,2.0,,CA,Vancouver,V6J4T8,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-bed-condo-700/7579335162.html,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-bed-condo-700/7579335162.html,True
2,-123.113900,Pet Friendly 2 Bed + Den Condo with City Views in Yaletown,49.278800,2.0,,CA,Vancouver,V6B2P2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-bed-den-condo/7579341765.html,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-bed-den-condo/7579341765.html,True
2,-123.130000,Unfurnished  2 Bed  2 Bath Condo w/ Water Views,49.276700,2.0,,CA,Vancouver,V6Z1W7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-unfurnished-bed-bath-condo/7580076672.html,https://vancouver.craigslist.org/van/apa/d/vancouver-unfurnished-bed-bath-condo/7580076672.html,True
1,-123.139600,Vancouver Brand New Cambie Gardens 1 bed condo for Rent,49.215100,1.0,,CA,Vancouver,V6P4Z2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-brand-new-cambie/7585534553.html,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-brand-new-cambie/7585534553.html,True
1,-123.116006,FURNISHED - Elegant downtown living,49.276257,1.0,928 Beatty St,CA,Vancouver,V6Z3C5,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-elegant-downtown/7582922669.html,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-elegant-downtown/7582922669.html,True
1,-123.038000,Stunning 1 bedroom+ Den in River District,49.217500,1.0,8533 River District Crossing,CA,Vancouver,V5S4X2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-bedroom-den-in-river/7580018123.html,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-bedroom-den-in-river/7580018123.html,True
2,-123.006749,Brentwood 2 Bedroom 2 Bath Condo For Rent,49.265998,2.0,2077 Rosser Avenue,CA,Burnaby,V5C3Y8,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-bedroom-bath-condo/7584215775.html,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-bedroom-bath-condo/7584215775.html,True
1,-123.131383,"$2,800 1br+den - 640sqf - Yaletown Downtown Vancouver",49.276285,1.0,888 Pacific,CA,Vancouver,V6Z1C3,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-brden-640sqf-yaletown/7582216611.html,https://vancouver.craigslist.org/van/apa/d/vancouver-brden-640sqf-yaletown/7582216611.html,True
1,-123.129560,Pet Welcome Furnished 1 Bedroom@1289 Hornby -Available April 1st,49.277462,1.0,1289 Hornby Street,CA,Vancouver,V6Z1W7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-furnished/7581239582.html,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-furnished/7581239582.html,True
1,-123.129560,Pet Welcome Furnished 1 Bedroom@1289 Hornby -Available April 1st,49.277462,1.0,1289 Hornby Street,CA,Vancouver,V6Z1W7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-furnished/7581239674.html,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-furnished/7581239674.html,True
