Index,Source_ID,Facility_Name,Facility_Type,Authority_Name,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4Plus,OLMS_Status,Full_Addr,Unit,Street_No,Street_Name,City,Prov_Terr,Postal_Code,PRUID,CSDNAME,CSDUID,Longitude,Latitude,Geo_Source,Provider,CMANAME,CMAUID
4799754c8958499f3aa8,3737035,Holly Elementary,Public School,,0,1,1,1,0,,0,4625 62 St Delta BC V4K 3L8,,4625,62 st,Delta,BC,V4K3L8,59,Delta,5915011,-123.0512119,49.08707104,AGOL,Province of British Columbia,Vancouver,933
a9cfa2978c8c0fa4af2d,3625109,Holly StrongStart Centre,StrongStart BC,,1,0,0,0,0,,0,10719 150 St Surrey BC V3R 4C8,,10719,150 st,Surrey,BC,V3R4C8,59,Surrey,5915004,-122.806262,49.19708138,AGOL,Province of British Columbia,Vancouver,933
79d8e42bbb539ac22923,4545055,Hollyburn Elementary,Public School,,0,1,1,1,0,,0,1329 Duchess Ave West Vancouver BC V7T 1H5,,1329,duchess ave,West Vancouver,BC,V7T1H5,59,West Vancouver,5915055,-123.1527292,49.32962747,AGOL,Province of British Columbia,Vancouver,933
d4c0db85c57b4d0b20fc,4525047,Hollyburn StrongStart Centre,StrongStart BC,,1,0,0,0,0,,0,1329 Duchess Ave West Vancouver BC V7T 1H5,,1329,duchess ave,West Vancouver,BC,V7T1H5,59,West Vancouver,5915055,-123.1527292,49.32962747,AGOL,Province of British Columbia,Vancouver,933
a7699c2a2a5e7bcedf6e,4196072,Holy Cross Elementary School,Independent School,,0,1,1,1,0,,0,1450 Delta Ave Burnaby BC V5B 3G2,,1450,delta ave,Burnaby,BC,V5B3G2,59,Burnaby,5915025,-122.9912956,49.2708789,Nominatim,Province of British Columbia,Vancouver,933
702a82c828540488c845,3696166,Holy Cross Regional High School,Independent School,,0,0,0,1,1,,0,16193 88 Ave Surrey BC V4N 1G3,,16193,88 ave,Surrey,BC,V4N1G3,59,Surrey,5915004,-122.7738,49.16282747,AGOL,Province of British Columbia,Vancouver,933
22add7f0518b9c23dae8,6796080,Holy Cross School,Independent School,,0,1,1,1,0,,0,1298 Main St Penticton BC V2A 5G2,,1298,main st,Penticton,BC,V2A5G2,59,Penticton,5907041,-119.5863214,49.48518135,AGOL,Province of British Columbia,Penticton,913
ad248f8427e76dd584be,4496120,Holy Trinity School,Independent School,,0,1,1,1,0,,0,128 27th St W North Vancouver BC V7N 2H1,,128,27th st w,North Vancouver,BC,V7N2H1,59,North Vancouver,5915051,-123.0731696,49.33418752,AGOL,Province of British Columbia,Vancouver,933
7805402154e2f009f03e,4099136,Home Learners Program,Public School,,0,1,1,1,0,,0,521 Fader St New Westminster BC V3L 3T4,,521,fader st,New Westminster,BC,V3L3T4,59,New Westminster,5915029,-122.8901721,49.23291054,AGOL,Province of British Columbia,Vancouver,933
6700ae66a5dce78b05c8,3799141,Home Quest,Public School,,0,1,1,1,0,,0,9240 112 St Delta BC V4C 4X8,,9240,112 st,Delta,BC,V4C4X8,59,,,,,,Province of British Columbia,,
2441718eac5522ebc7d9,886016,Homelinks - Creston,Public School,,0,1,1,1,1,,0,PO Box 250 Creston BC V0B 1G0,,,,Creston,BC,V0B1G0,59,,,,,,Province of British Columbia,,
04d5f46c2f1fd627dc2d,899292,Homelinks - Kaslo,Public School,,0,1,1,1,0,,0,PO Box 577 Kaslo BC V0G 1M0,,,,Kaslo,BC,V0G1M0,59,,,,,,Province of British Columbia,,
37714ca5b13f4d2d2708,899291,Homelinks - Nelson,Public School,,0,1,1,1,1,,0,814 Latimer St Nelson BC V1L 4V7,,814,latimer st,Nelson,BC,V1L4V7,59,Nelson,5903015,-117.2857198,49.48998334,AGOL,Province of British Columbia,Nelson,907
5ef1ccb9410661b5d85c,3696900,Honour Secondary School,Independent School,,0,0,0,1,1,,0,10453 whalley blvd Surrey BC V3T 5B1,,10453,whalley blvd,Surrey,BC,V3T5B1,59,Surrey,5915004,-122.8421426,49.19246261,AGOL,Province of British Columbia,Vancouver,933
