,URL,Sauna
61,https://vancouver.craigslist.org/van/apa/d/coquitlam-north-burquitlam-bed-den-bath/7577875267.html,True
62,https://vancouver.craigslist.org/rds/apa/d/delta-tsawwassen-bed-bath-newly/7577919090.html,True
63,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-bath-condo-city-and/7577873199.html,True
64,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-bath-downtown-suite/7579310337.html,True
65,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-bed-condo-700/7579335162.html,True
66,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-bed-den-condo/7579341765.html,True
67,https://vancouver.craigslist.org/van/apa/d/vancouver-unfurnished-bed-bath-condo/7580076672.html,True
68,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-brand-new-cambie/7585534553.html,True
69,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-elegant-downtown/7582922669.html,True
70,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-bedroom-den-in-river/7580018123.html,True
71,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-bedroom-bath-condo/7584215775.html,True
72,https://vancouver.craigslist.org/van/apa/d/vancouver-brden-640sqf-yaletown/7582216611.html,True
73,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-furnished/7581239582.html,True
74,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-furnished/7581239674.html,True
75,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-furnished/7581239857.html,True
76,https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-furnished/7579383585.html,True
77,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-and-really-nice/7585439278.html,True
78,https://vancouver.craigslist.org/van/apa/d/vancouver-whole-luxurious-european/7580796372.html,True
79,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bathroom-plus-den-of/7585436882.html,True
80,https://vancouver.craigslist.org/van/apa/d/vancouver-luxurious-brand-new/7585430597.html,True
81,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-plus-den-of-apartment/7585430692.html,True
82,https://vancouver.craigslist.org/van/apa/d/vancouver-central-downtown/7585430569.html,True
83,https://vancouver.craigslist.org/van/apa/d/vancouver-entire-apartment-at-one/7585415568.html,True
84,https://vancouver.craigslist.org/pml/apa/d/coquitlam-1bd-1bth-wynwood-green-brand/7580001264.html,True
85,https://vancouver.craigslist.org/bnc/apa/d/burnaby-sun-tower-brand-new-bed-and-den/7579757539.html,True
86,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-2bd2bthden-unitone/7579212147.html,True
87,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-and-den-storage-ev/7584386317.html,True
88,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-available-april/7585418791.html,True
89,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-available-april/7585418895.html,True
90,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-available-april/7585418614.html,True
91,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-available-april/7585418697.html,True
92,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-orcaref3000desirable/7585409365.html,True
93,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bathroom-den-condo/7585405894.html,True
94,https://vancouver.craigslist.org/bnc/apa/d/burnaby-large-2br-and-2bath-new-condon/7585399323.html,True
95,https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref1201-8spectacular/7585396908.html,True
96,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-office-apartment/7585395694.html,True
97,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-orcaref/7585394632.html,True
98,https://vancouver.craigslist.org/van/apa/d/vancouver-rosedale-garden-bdrm-bath-pk/7578333581.html,True
99,https://vancouver.craigslist.org/van/apa/d/port-moody-brand-new-bedroom-condo-in/7585380674.html,True
100,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref-bed-bath-den/7585383931.html,True
101,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-bedrooms-corner/7577074333.html,True
102,https://vancouver.craigslist.org/bnc/apa/d/burnaby-north-burnaby-bed-bath-condo/7580878571.html,True
103,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-huge-bedden-concrete/7584648708.html,True
